DateRep,CountryExp,CountryCode,Source,ConfCases
2022-04-26,Austria,AT,EI,0
2022-04-26,Belgium,BE,TESSy,0
2022-04-26,Czechia,CZ,TESSy,0
2022-04-26,Denmark,DK,EI,0
2022-04-26,Finland,FI,EI,0
2022-04-26,France,FR,EI,0
2022-04-26,Germany,DE,EI,0
2022-04-26,Greece,EL,TESSy,0
2022-04-26,Hungary,HU,TESSy,0
2022-04-26,Iceland,IS,EI,0
2022-04-26,Ireland,IE,TESSy,0
2022-04-26,Italy,IT,TESSy,0
2022-04-26,Latvia,LV,TESSy,0
2022-04-26,Luxembourg,LU,EI,0
2022-04-26,Malta,MT,TESSy,0
2022-04-26,Netherlands,NL,EI,0
2022-04-26,Norway,NO,TESSy,0
2022-04-26,Poland,PL,TESSy,0
2022-04-26,Portugal,PT,EI,0
2022-04-26,Romania,RO,TESSy,0
2022-04-26,Slovenia,SI,TESSy,0
2022-04-26,Spain,ES,TESSy,1
2022-04-26,Sweden,SE,TESSy,0
2022-04-27,Austria,AT,EI,0
2022-04-27,Belgium,BE,TESSy,0
2022-04-27,Czechia,CZ,TESSy,0
2022-04-27,Denmark,DK,EI,0
2022-04-27,Finland,FI,EI,0
2022-04-27,France,FR,EI,0
2022-04-27,Germany,DE,EI,0
2022-04-27,Greece,EL,TESSy,0
2022-04-27,Hungary,HU,TESSy,0
2022-04-27,Iceland,IS,EI,0
2022-04-27,Ireland,IE,TESSy,0
2022-04-27,Italy,IT,TESSy,0
2022-04-27,Latvia,LV,TESSy,0
2022-04-27,Luxembourg,LU,EI,0
2022-04-27,Malta,MT,TESSy,0
2022-04-27,Netherlands,NL,EI,0
2022-04-27,Norway,NO,TESSy,0
2022-04-27,Poland,PL,TESSy,0
2022-04-27,Portugal,PT,EI,0
2022-04-27,Romania,RO,TESSy,0
2022-04-27,Slovenia,SI,TESSy,0
2022-04-27,Spain,ES,TESSy,1
2022-04-27,Sweden,SE,TESSy,0
2022-05-02,Austria,AT,EI,0
2022-05-02,Belgium,BE,TESSy,0
2022-05-02,Czechia,CZ,TESSy,0
2022-05-02,Denmark,DK,EI,0
2022-05-02,Finland,FI,EI,0
2022-05-02,France,FR,EI,0
2022-05-02,Germany,DE,EI,0
2022-05-02,Greece,EL,TESSy,0
2022-05-02,Hungary,HU,TESSy,0
2022-05-02,Iceland,IS,EI,0
2022-05-02,Ireland,IE,TESSy,0
2022-05-02,Italy,IT,TESSy,0
2022-05-02,Latvia,LV,TESSy,0
2022-05-02,Luxembourg,LU,EI,0
2022-05-02,Malta,MT,TESSy,0
2022-05-02,Netherlands,NL,EI,0
2022-05-02,Norway,NO,TESSy,0
2022-05-02,Poland,PL,TESSy,0
2022-05-02,Portugal,PT,EI,0
2022-05-02,Romania,RO,TESSy,0
2022-05-02,Slovenia,SI,TESSy,0
2022-05-02,Spain,ES,TESSy,1
2022-05-02,Sweden,SE,TESSy,0
2022-05-03,Austria,AT,EI,0
2022-05-03,Belgium,BE,TESSy,0
2022-05-03,Czechia,CZ,TESSy,0
2022-05-03,Denmark,DK,EI,0
2022-05-03,Finland,FI,EI,0
2022-05-03,France,FR,EI,0
2022-05-03,Germany,DE,EI,0
2022-05-03,Greece,EL,TESSy,0
2022-05-03,Hungary,HU,TESSy,0
2022-05-03,Iceland,IS,EI,0
2022-05-03,Ireland,IE,TESSy,0
2022-05-03,Italy,IT,TESSy,0
2022-05-03,Latvia,LV,TESSy,0
2022-05-03,Luxembourg,LU,EI,0
2022-05-03,Malta,MT,TESSy,0
2022-05-03,Netherlands,NL,EI,0
2022-05-03,Norway,NO,TESSy,0
2022-05-03,Poland,PL,TESSy,0
2022-05-03,Portugal,PT,EI,0
2022-05-03,Romania,RO,TESSy,0
2022-05-03,Slovenia,SI,TESSy,0
2022-05-03,Spain,ES,TESSy,1
2022-05-03,Sweden,SE,TESSy,0
2022-05-04,Austria,AT,EI,0
2022-05-04,Belgium,BE,TESSy,0
2022-05-04,Czechia,CZ,TESSy,0
2022-05-04,Denmark,DK,EI,0
2022-05-04,Finland,FI,EI,0
2022-05-04,France,FR,EI,0
2022-05-04,Germany,DE,EI,0
2022-05-04,Greece,EL,TESSy,0
2022-05-04,Hungary,HU,TESSy,0
2022-05-04,Iceland,IS,EI,0
2022-05-04,Ireland,IE,TESSy,0
2022-05-04,Italy,IT,TESSy,0
2022-05-04,Latvia,LV,TESSy,0
2022-05-04,Luxembourg,LU,EI,0
2022-05-04,Malta,MT,TESSy,0
2022-05-04,Netherlands,NL,EI,0
