Entity,Countries Continents
0,Abkhazia,Asia
1,Afghanistan,Asia
2,Akrotiri and Dhekelia,Asia
3,Albania,Europe
4,Algeria,Africa
5,American Samoa,Oceania
6,Andorra,Europe
7,Angola,Africa
8,Anguilla,North America
9,Antarctica,Antarctica
10,Antigua and Barbuda,North America
11,Argentina,South America
12,Armenia,Asia
13,Aruba,North America
14,Australia,Oceania
15,Austria,Europe
16,Austria-Hungary,Europe
17,Azerbaijan,Asia
18,Baden,Europe
19,Bahamas,North America
20,Bahrain,Asia
21,Bangladesh,Asia
22,Barbados,North America
23,Bavaria,Europe
24,Belarus,Europe
25,Belgium,Europe
26,Belize,North America
27,Benin,Africa
28,Bermuda,North America
29,Bhutan,Asia
30,Bolivia,South America
31,Bonaire Sint Eustatius and Saba,North America
32,Bosnia and Herzegovina,Europe
33,Botswana,Africa
34,Bouvet Island,Antarctica
35,Brazil,South America
36,British Indian Ocean Territory,Asia
37,British Virgin Islands,North America
38,Brunei,Asia
39,Bulgaria,Europe
40,Burkina Faso,Africa
41,Burundi,Africa
42,Cambodia,Asia
43,Cameroon,Africa
44,Canada,North America
45,Cape Verde,Africa
46,Cayman Islands,North America
47,Central African Republic,Africa
48,Chad,Africa
49,Channel Islands,Europe
50,Chile,South America
51,China,Asia
52,Christmas Island,Asia
53,Cocos Islands,Asia
54,Colombia,South America
55,Comoros,Africa
56,Congo,Africa
57,Cook Islands,Oceania
58,Costa Rica,North America
59,Cote d'Ivoire,Africa
60,Croatia,Europe
61,Cuba,North America
62,Curacao,North America
63,Cyprus,Europe
64,Czechia,Europe
65,Czechoslovakia,Europe
66,Democratic Republic of Congo,Africa
67,Denmark,Europe
68,Djibouti,Africa
69,Dominica,North America
70,Dominican Republic,North America
71,East Germany,Europe
72,Ecuador,South America
73,Egypt,Africa
74,El Salvador,North America
75,Equatorial Guinea,Africa
76,Eritrea,Africa
77,Eritrea and Ethiopia,Africa
78,Estonia,Europe
79,Eswatini,Africa
80,Ethiopia,Africa
81,Faeroe Islands,Europe
82,Falkland Islands,South America
83,Fiji,Oceania
84,Finland,Europe
85,France,Europe
86,French Guiana,South America
87,French Polynesia,Oceania
88,French Southern Territories,Antarctica
89,Gabon,Africa
90,Gambia,Africa
91,Georgia,Asia
92,Germany,Europe
93,Ghana,Africa
94,Gibraltar,Europe
95,Greece,Europe
96,Greenland,North America
97,Grenada,North America
98,Guadeloupe,North America
99,Guam,Oceania
100,Guatemala,North America
101,Guernsey,Europe
102,Guinea,Africa
103,Guinea-Bissau,Africa
104,Guyana,South America
105,Haiti,North America
106,Hanover,Europe
107,Heard Island and McDonald Islands,Antarctica
108,Hesse Electoral,Europe
109,Hesse Grand Ducal,Europe
110,Honduras,North America
111,Hong Kong,Asia
112,Hungary,Europe
113,Iceland,Europe
114,India,Asia
115,Indonesia,Asia
116,Iran,Asia
117,Iraq,Asia
118,Ireland,Europe
119,Isle of Man,Europe
120,Israel,Asia
121,Italy,Europe
122,Jamaica,North America
123,Japan,Asia
124,Jersey,Europe
125,Jordan,Asia
126,Kazakhstan,Asia
127,Kenya,Africa
128,Kiribati,Oceania
129,Kosovo,Europe
