,Entity,Year,Countries Continents
0,Abkhazia,2015.0,Asia
1,Afghanistan,2015.0,Asia
2,Akrotiri and Dhekelia,2015.0,Asia
3,Albania,2015.0,Europe
4,Algeria,2015.0,Africa
5,American Samoa,2015.0,Oceania
6,Andorra,2015.0,Europe
7,Angola,2015.0,Africa
8,Anguilla,2015.0,North America
9,Antarctica,2015.0,Antarctica
10,Antigua and Barbuda,2015.0,North America
11,Argentina,2015.0,South America
12,Armenia,2015.0,Asia
13,Aruba,2015.0,North America
14,Australia,2015.0,Oceania
15,Austria,2015.0,Europe
16,Austria-Hungary,2015.0,Europe
17,Azerbaijan,2015.0,Asia
18,Baden,2015.0,Europe
19,Bahamas,2015.0,North America
20,Bahrain,2015.0,Asia
21,Bangladesh,2015.0,Asia
22,Barbados,2015.0,North America
23,Bavaria,2015.0,Europe
24,Belarus,2015.0,Europe
25,Belgium,2015.0,Europe
26,Belize,2015.0,North America
27,Benin,2015.0,Africa
28,Bermuda,2015.0,North America
29,Bhutan,2015.0,Asia
30,Bolivia,2015.0,South America
31,Bonaire Sint Eustatius and Saba,2015.0,North America
32,Bosnia and Herzegovina,2015.0,Europe
33,Botswana,2015.0,Africa
34,Bouvet Island,2015.0,Antarctica
35,Brazil,2015.0,South America
36,British Indian Ocean Territory,2015.0,Asia
37,British Virgin Islands,2015.0,North America
38,Brunei,2015.0,Asia
39,Bulgaria,2015.0,Europe
40,Burkina Faso,2015.0,Africa
41,Burundi,2015.0,Africa
42,Cambodia,2015.0,Asia
43,Cameroon,2015.0,Africa
44,Canada,2015.0,North America
45,Cape Verde,2015.0,Africa
46,Cayman Islands,2015.0,North America
47,Central African Republic,2015.0,Africa
48,Chad,2015.0,Africa
49,Channel Islands,2015.0,Europe
50,Chile,2015.0,South America
51,China,2015.0,Asia
52,Christmas Island,2015.0,Asia
53,Cocos Islands,2015.0,Asia
54,Colombia,2015.0,South America
55,Comoros,2015.0,Africa
56,Congo,2015.0,Africa
57,Cook Islands,2015.0,Oceania
58,Costa Rica,2015.0,North America
59,Cote d'Ivoire,2015.0,Africa
60,Croatia,2015.0,Europe
61,Cuba,2015.0,North America
62,Curacao,2015.0,North America
63,Cyprus,2015.0,Europe
64,Czechia,2015.0,Europe
65,Czechoslovakia,2015.0,Europe
66,Democratic Republic of Congo,2015.0,Africa
67,Denmark,2015.0,Europe
68,Djibouti,2015.0,Africa
69,Dominica,2015.0,North America
70,Dominican Republic,2015.0,North America
71,East Germany,2015.0,Europe
72,Ecuador,2015.0,South America
73,Egypt,2015.0,Africa
74,El Salvador,2015.0,North America
75,Equatorial Guinea,2015.0,Africa
76,Eritrea,2015.0,Africa
77,Eritrea and Ethiopia,2015.0,Africa
78,Estonia,2015.0,Europe
79,Eswatini,2015.0,Africa
80,Ethiopia,2015.0,Africa
81,Faeroe Islands,2015.0,Europe
82,Falkland Islands,2015.0,South America
83,Fiji,2015.0,Oceania
84,Finland,2015.0,Europe
85,France,2015.0,Europe
86,French Guiana,2015.0,South America
87,French Polynesia,2015.0,Oceania
88,French Southern Territories,2015.0,Antarctica
89,Gabon,2015.0,Africa
90,Gambia,2015.0,Africa
91,Georgia,2015.0,Asia
92,Germany,2015.0,Europe
93,Ghana,2015.0,Africa
94,Gibraltar,2015.0,Europe
95,Greece,2015.0,Europe
96,Greenland,2015.0,North America
97,Grenada,2015.0,North America
98,Guadeloupe,2015.0,North America
99,Guam,2015.0,Oceania
100,Guatemala,2015.0,North America
101,Guernsey,2015.0,Europe
102,Guinea,2015.0,Africa
103,Guinea-Bissau,2015.0,Africa
104,Guyana,2015.0,South America
105,Haiti,2015.0,North America
106,Hanover,2015.0,Europe
107,Heard Island and McDonald Islands,2015.0,Antarctica
108,Hesse Electoral,2015.0,Europe
109,Hesse Grand Ducal,2015.0,Europe
110,Honduras,2015.0,North America
111,Hong Kong,2015.0,Asia
112,Hungary,2015.0,Europe
113,Iceland,2015.0,Europe
114,India,2015.0,Asia
115,Indonesia,2015.0,Asia
116,Iran,2015.0,Asia
117,Iraq,2015.0,Asia
118,Ireland,2015.0,Europe
119,Isle of Man,2015.0,Europe
120,Israel,2015.0,Asia
121,Italy,2015.0,Europe
122,Jamaica,2015.0,North America
123,Japan,2015.0,Asia
124,Jersey,2015.0,Europe
125,Jordan,2015.0,Asia
126,Kazakhstan,2015.0,Asia
127,Kenya,2015.0,Africa
128,Kiribati,2015.0,Oceania
129,Kosovo,2015.0,Europe
130,Kuwait,2015.0,Asia
131,Kyrgyzstan,2015.0,Asia
132,Laos,2015.0,Asia
133,Latvia,2015.0,Europe
134,Lebanon,2015.0,Asia
135,Lesotho,2015.0,Africa
136,Liberia,2015.0,Africa
137,Libya,2015.0,Africa
138,Liechtenstein,2015.0,Europe
139,Lithuania,2015.0,Europe
140,Luxembourg,2015.0,Europe
141,Macao,2015.0,Asia
142,Madagascar,2015.0,Africa
143,Malawi,2015.0,Africa
144,Malaysia,2015.0,Asia
145,Maldives,2015.0,Asia
146,Mali,2015.0,Africa
147,Malta,2015.0,Europe
148,Marshall Islands,2015.0,Oceania
149,Martinique,2015.0,North America
150,Mauritania,2015.0,Africa
151,Mauritius,2015.0,Africa
152,Mayotte,2015.0,Africa
153,Mecklenburg Schwerin,2015.0,Europe
154,Mexico,2015.0,North America
155,Micronesia (country),2015.0,Oceania
156,Modena,2015.0,Europe
157,Moldova,2015.0,Europe
158,Monaco,2015.0,Europe
159,Mongolia,2015.0,Asia
160,Montenegro,2015.0,Europe
161,Montserrat,2015.0,North America
162,Morocco,2015.0,Africa
163,Mozambique,2015.0,Africa
164,Myanmar,2015.0,Asia
165,Nagorno-Karabakh,2015.0,Asia
166,Namibia,2015.0,Africa
167,Nauru,2015.0,Oceania
168,Nepal,2015.0,Asia
169,Netherlands,2015.0,Europe
170,Netherlands Antilles,2015.0,North America
171,New Caledonia,2015.0,Oceania
172,New Zealand,2015.0,Oceania
173,Nicaragua,2015.0,North America
174,Niger,2015.0,Africa
175,Nigeria,2015.0,Africa
176,Niue,2015.0,Oceania
177,Norfolk Island,2015.0,Oceania
178,North Korea,2015.0,Asia
179,North Macedonia,2015.0,Europe
180,Northern Cyprus,2015.0,Asia
181,Northern Mariana Islands,2015.0,Oceania
182,Norway,2015.0,Europe
183,Oman,2015.0,Asia
184,Pakistan,2015.0,Asia
185,Palau,2015.0,Oceania
186,Palestine,2015.0,Asia
187,Panama,2015.0,North America
188,Papua New Guinea,2015.0,Oceania
189,Paraguay,2015.0,South America
190,Parma,2015.0,Europe
191,Peru,2015.0,South America
192,Philippines,2015.0,Asia
193,Pitcairn,2015.0,Oceania
194,Poland,2015.0,Europe
195,Portugal,2015.0,Europe
196,Puerto Rico,2015.0,North America
197,Qatar,2015.0,Asia
198,Republic of Vietnam,2015.0,Asia
199,Reunion,2015.0,Africa
